Average Domestic Airline Itinerary Fares By Origin City for Q2 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
216,GRK,Robert Gray AAF,Killeen,TX,268.77,330.22," 5,882 ",,,,,,,,,,,
217,LBE,Arnold Palmer Regional,Latrobe,PA,97.28,119.53," 5,672 ",,,,,,,,,,,
218,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,305.44,375.28," 5,637 ",,,,,,,,,,,
219,HLN,Helena Regional,Helena,MT,392.65,482.42," 5,609 ",,,,,,,,,,,
220,ABI,Abilene Regional,Abilene,TX,322.62,396.38," 5,572 ",,,,,,,,,,,
221,ELM,Elmira/Corning Regional,Elmira/Corning,NY,226.26,278.00," 5,534 ",,,,,,,,,,,
222,CPR,Casper/Natrona County International,Casper,WY,434.48,533.81," 5,500 ",,,,,,,,,,,
223,BET,Bethel Airport,Bethel,AK,351.91,432.38," 5,442 ",,,,,,,,,,,
224,ACK,Nantucket Memorial,Nantucket,MA,330.64,406.23," 5,436 ",,,,,,,,,,,
225,LCH,Lake Charles Regional,Lake Charles,LA,341.14,419.14," 5,431 ",,,,,,,,,,,
226,GFK,Grand Forks International,Grand Forks,ND,401.92,493.81," 5,419 ",,,,,,,,,,,
227,KTN,Ketchikan International,Ketchikan,AK,417.80,513.32," 5,377 ",,,,,,,,,,,
228,CWA,Central Wisconsin,Mosinee,WI,298.24,366.43," 5,375 ",,,,,,,,,,,
228,COU,Columbia Regional,Columbia,MO,299.84,368.40," 5,375 ",,,,,,,,,,,
230,RDD,Redding Regional,Redding,CA,424.36,521.39," 5,149 ",,,,,,,,,,,
231,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,297.32,365.30," 5,024 ",,,,,,,,,,,
232,AEX,Alexandria International,Alexandria,LA,367.03,450.94," 5,014 ",,,,,,,,,,,
233,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,316.83,389.27," 4,980 ",,,,,,,,,,,
